year,LineCode,airport,gdp
2011-01-01,34.0,DTW,
2011-01-01,35.0,DTW,12022988.0
2011-01-01,36.0,DTW,
2011-01-01,45.0,DTW,6354510.0
2011-01-01,50.0,DTW,32875628.0
2011-01-01,51.0,DTW,10455595.0
2011-01-01,56.0,DTW,22420033.0
2011-01-01,59.0,DTW,
2011-01-01,60.0,DTW,
2011-01-01,64.0,DTW,
2011-01-01,65.0,DTW,7794982.0
2011-01-01,68.0,DTW,19675189.0
2011-01-01,69.0,DTW,1703703.0
2011-01-01,70.0,DTW,17971486.0
2011-01-01,75.0,DTW,6940229.0
2011-01-01,76.0,DTW,1794053.0
2011-01-01,79.0,DTW,5146176.0
2011-01-01,82.0,DTW,4732366.0
2011-01-01,83.0,DTW,18459791.0
2011-01-01,,DTW,
2011-01-01,87.0,DTW,409936.0
2011-01-01,88.0,DTW,
2011-01-01,89.0,DTW,
2011-01-01,90.0,DTW,41193758.0
2011-01-01,91.0,DTW,40519169.0
2011-01-01,92.0,DTW,141072104.0
2011-01-01,1.0,IAH,380459547.0
2011-01-01,2.0,IAH,351554757.0
2011-01-01,3.0,IAH,102551.0
2011-01-01,6.0,IAH,26126441.0
2011-01-01,10.0,IAH,6600691.0
2011-01-01,11.0,IAH,18487473.0
2011-01-01,12.0,IAH,88972648.0
2011-01-01,13.0,IAH,
2011-01-01,25.0,IAH,
2011-01-01,34.0,IAH,34816639.0
2011-01-01,35.0,IAH,16329990.0
2011-01-01,36.0,IAH,
2011-01-01,45.0,IAH,
2011-01-01,50.0,IAH,45849228.0
2011-01-01,51.0,IAH,13904195.0
2011-01-01,56.0,IAH,31945032.0
2011-01-01,59.0,IAH,50695597.0
2011-01-01,60.0,IAH,
2011-01-01,64.0,IAH,
2011-01-01,65.0,IAH,
2011-01-01,68.0,IAH,21568233.0
2011-01-01,69.0,IAH,
2011-01-01,70.0,IAH,
2011-01-01,75.0,IAH,9744587.0
2011-01-01,76.0,IAH,1911442.0
2011-01-01,79.0,IAH,7833144.0
2011-01-01,82.0,IAH,6695047.0
2011-01-01,83.0,IAH,28904790.0
2011-01-01,,IAH,
2011-01-01,87.0,IAH,26228992.0
2011-01-01,88.0,IAH,51146629.0
2011-01-01,89.0,IAH,
2011-01-01,90.0,IAH,
2011-01-01,91.0,IAH,133689114.0
2011-01-01,92.0,IAH,217865643.0
2011-01-01,1.0,LAS,88096898.0
2011-01-01,2.0,LAS,78251020.0
2011-01-01,3.0,LAS,15031.0
2011-01-01,6.0,LAS,63658.0
2011-01-01,10.0,LAS,1639732.0
2011-01-01,11.0,LAS,4898825.0
2011-01-01,12.0,LAS,2973192.0
2011-01-01,13.0,LAS,2184905.0
2011-01-01,25.0,LAS,788287.0
2011-01-01,34.0,LAS,3319323.0
2011-01-01,35.0,LAS,6009400.0
2011-01-01,36.0,LAS,3866244.0
2011-01-01,45.0,LAS,2381363.0
2011-01-01,50.0,LAS,18003078.0
2011-01-01,51.0,LAS,4348836.0
2011-01-01,56.0,LAS,13654241.0
2011-01-01,59.0,LAS,9190878.0
2011-01-01,60.0,LAS,4523727.0
2011-01-01,64.0,LAS,1837018.0
2011-01-01,65.0,LAS,2830133.0
2011-01-01,68.0,LAS,5401715.0
2011-01-01,69.0,LAS,457724.0
2011-01-01,70.0,LAS,4943992.0
2011-01-01,75.0,LAS,18912935.0
2011-01-01,76.0,LAS,3169643.0
2011-01-01,79.0,LAS,15743292.0
2011-01-01,82.0,LAS,1575647.0
2011-01-01,83.0,LAS,9845878.0
2011-01-01,,LAS,
2011-01-01,87.0,LAS,78688.0
2011-01-01,88.0,LAS,9328723.0
2011-01-01,89.0,LAS,5505976.0
2011-01-01,90.0,LAS,5354555.0
2011-01-01,91.0,LAS,7950705.0
2011-01-01,92.0,LAS,70300314.0
2011-01-01,1.0,LAX,756470973.0
2011-01-01,2.0,LAX,683804701.0
2011-01-01,3.0,LAX,410956.0
2011-01-01,6.0,LAX,3010746.0
2011-01-01,10.0,LAX,4708080.0
2011-01-01,11.0,LAX,16193544.0
2011-01-01,12.0,LAX,73925867.0
2011-01-01,13.0,LAX,46163715.0
2011-01-01,25.0,LAX,27762153.0
2011-01-01,34.0,LAX,54774968.0
2011-01-01,35.0,LAX,41913880.0
2011-01-01,36.0,LAX,19466668.0
2011-01-01,45.0,LAX,79618413.0
2011-01-01,50.0,LAX,179805890.0
2011-01-01,51.0,LAX,43403356.0
2011-01-01,56.0,LAX,136402535.0
2011-01-01,59.0,LAX,98344858.0
2011-01-01,60.0,LAX,64257031.0
