AIRPORT_SEQ_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,
1516401,TDW,"Amarillo, TX",United States,Texas,
1516402,TDW,"Amarillo, TX",United States,Texas,
1516501,TDZ,"Toledo, OH",United States,Ohio,
1516601,TEA,"Tela, Honduras",Honduras,,
1516602,TEA,"Tela, Honduras",Honduras,,
1516603,TEA,"Tela, Honduras",Honduras,,
1516701,TEB,"Teterboro, NJ",United States,New Jersey,
1516702,TEB,"Teterboro, NJ",United States,New Jersey,
1516801,TED,"Thisted, Denmark",Denmark,,
1516802,TED,"Thisted, Denmark",Denmark,,
1517001,TEH,"Tetlin, AK",United States,Alaska,
1517002,TEH,"Tetlin, AK",United States,Alaska,
1517003,TEH,"Tetlin, AK",United States,Alaska,
1517004,TEH,"Tetlin, AK",United States,Alaska,
1517005,TEH,"Tetlin, AK",United States,Alaska,
1517101,TEK,"Tatitlek, AK",United States,Alaska,
1517102,TEK,"Tatitlek, AK",United States,Alaska,
1517301,TEP,"Teptep, Papua New Guinea",Papua New Guinea,,
1517302,TEP,"Teptep, Papua New Guinea",Papua New Guinea,,
1517303,TEP,"Teptep, Papua New Guinea",Papua New Guinea,,
1517401,TER,"Lajes, Portugal",Portugal,,
1517402,TER,"Lajes, Portugal",Portugal,,
1517403,TER,"Lajes, Portugal",Portugal,,
1517501,TET,"Tete, Mozambique",Mozambique,,
1517502,TET,"Tete, Mozambique",Mozambique,,
1517601,TEU,"Te Anau, New Zealand",New Zealand,,
1517602,TEU,"Te Anau, New Zealand",New Zealand,,
1517701,TEX,"Telluride, CO",United States,Colorado,
1517702,TEX,"Telluride, CO",United States,Colorado,
1517801,TEZ,"Tezpur, India",India,,
1517802,TEZ,"Tezpur, India",India,,
1517901,TFF,"Tefe, Brazil",Brazil,,
1517902,TFF,"Tefe, Brazil",Brazil,,
1518001,TFI,"Tufi, Papua New Guinea",Papua New Guinea,,
1518002,TFI,"Tufi, Papua New Guinea",Papua New Guinea,,
1518003,TFI,"Tufi, Papua New Guinea",Papua New Guinea,,
1518101,TFN,"Tenerife, Spain",Spain,,
1518102,TFN,"Tenerife, Spain",Spain,,
1518103,TFN,"Tenerife, Spain",Spain,,
1518104,TFN,"Tenerife, Spain",Spain,,
1518105,TFN,"Tenerife, Spain",Spain,,
1518106,TFN,"Tenerife, Spain",Spain,,
1518201,TFR,"Tarbes/Lourdes/Pyrenees, France",France,,
1518301,TFS,"Tenerife, Spain",Spain,,
1518302,TFS,"Tenerife, Spain",Spain,,
1518303,TFS,"Tenerife, Spain",Spain,,
1518304,TFS,"Tenerife, Spain",Spain,,
1518305,TFS,"Tenerife, Spain",Spain,,
1518306,TFS,"Tenerife, Spain",Spain,,
1518401,TGD,"Titograd, Yugoslavia",Yugoslavia,,
1518402,TGD,"Titograd, Yugoslavia",Yugoslavia,,
1518403,TGD,"Podgorica, FRY",FRY,,
1518404,TGD,"Podgorica, Serbia and Montenegro",Serbia and Montenegro,,
1518405,TGD,"Podgorica, Montenegro",Montenegro,,
1518406,TGD,"Podgorica, Montenegro",Montenegro,,
