GeoFips,GeoName,LineCode,Description,2011,2012,2013
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",41957762,44032456,45303149
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",69,      Educational services,11508045,11900398,12216948
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",70,      Health care and social assistance,30449717,32132058,33086201
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",11858241,12606509,13607697
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",3497304,3658522,4184167
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",79,      Accommodation and food services,8360936,8947988,9423530
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),5999131,6221854,6387938
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",83,Government and government enterprises,34830327,33745029,34753810
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",,Addenda:,,,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",88,Trade,31532839,31711258,32986961
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",90,Manufacturing and information,57573413,57772992,(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",92,Private services-providing industries 3/,(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1,All industry total,117106245,127361099,129874487
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,  Private industries,106077882,116171292,118148724
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",395706,557359,609475
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",92306,73879,81778
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",10,    Utilities,(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",11,    Construction,3407150,4017883,4714265
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",12,    Manufacturing,16284998,17006983,18490135
